"SQUIRREL","HAWK"
"11040","54"
"10557","53"
"10510","53"
"10498","53"
"10488","52"
"10428","52"
"10341","51"
"10249","49"
"10146","48"
"10059","48"
"9965","47"
"9879","47"
"9780","47"
"9691","47"
"9604","47"
"9514","46"
"9447","46"
"9350","46"
"9279","46"
"9194","45"
"9111","45"
"9023","45"
"8947","45"
"8867","45"
"8797","45"
"8718","45"
"8641","45"
"8562","45"
"8477","45"
"8403","45"
"8326","44"
"8259","44"
"8188","44"
"8119","44"
"8044","44"
"7981","44"
"7920","44"
"7845","44"
"7774","44"
"7709","44"
"7636","43"
"7583","43"
"7528","43"
"7469","43"
"7404","43"
"7343","43"
"7286","43"
"7225","43"
"7157","43"
"7106","43"
"7051","42"
"6984","42"
"6924","42"
"6873","42"
"6812","41"
"6763","41"
"6712","41"
"6661","41"
"6605","41"
"6554","40"
"6486","40"
"6436","40"
"6377","40"
"6323","40"
"6267","40"
"6213","40"
"6158","40"
"6096","40"
"6052","40"
"5996","40"
"5941","40"
"5890","40"
"5841","40"
"5791","40"
"5745","40"
"5707","40"
"5665","40"
"5625","39"
"5580","39"
"5537","39"
"5493","39"
"5455","39"
"5434","39"
"5414","39"
"5410","39"
"5437","38"
"5433","37"
"5494","37"
"5530","37"
"5581","39"
"5617","51"
"5686","54"
"5714","54"
"5767","54"
"5846","55"
"5893","61"
"5987","60"
"6033","62"
"6084","61"
"6155","58"
"6191","58"
"6216","58"
"6250","62"
"6282","62"
"6346","61"
"6398","61"
"6459","64"
"6477","63"
"6509","66"
"6523","64"
"6545","63"
"6583","62"
"6619","61"
"6660","61"
"6688","60"
"6679","60"
"6700","60"
"6715","59"
"6695","59"
"6732","57"
"6714","56"
"6733","56"
"6755","55"
"6774","54"
"6799","53"
"6829","52"
"6833","54"
"6879","54"
"6936","53"
"6974","53"
"7004","53"
"7018","56"
"7043","55"
"7047","58"
"7050","57"
"7048","57"
"7038","57"
"7031","58"
"7037","57"
"7029","59"
"7030","59"
"7072","59"
"7067","59"
"7063","59"
"7071","59"
"7074","59"
"7070","58"
"7081","58"
"7089","58"
"7072","58"
"7085","57"
"7062","56"
"7055","56"
"7030","56"
"7002","56"
"6992","56"
"6991","56"
"7007","56"
"6982","56"
"6996","56"
"7010","56"
"7000","56"
"6999","56"
"6976","55"
"6945","55"
"6922","55"
"6887","55"
"6867","55"
"6857","55"
"6845","55"
"6831","55"
"6831","54"
"6803","54"
"6811","53"
"6825","52"
"6795","52"
"6791","52"
"6800","51"
"6774","51"
"6773","51"
"6741","51"
"6734","50"
"6701","50"
"6671","49"
"6660","49"
"6624","49"
"6590","49"
"6547","49"
"6503","49"
"6451","49"
"6403","48"
"6351","47"
"6306","47"
"6258","46"
"6219","46"
"6182","45"
"6137","44"
"6092","44"
"6055","44"
"6013","44"
"5966","44"
"5926","44"
"5892","44"
"5848","44"
"5806","44"
"5759","43"
"5719","43"
"5673","43"
"5635","43"
"5589","43"
"5545","43"
"5510","42"
"5472","41"
"5433","40"
"5395","39"
"5364","39"
"5326","39"
"5285","38"
"5244","38"
"5209","37"
"5171","37"
"5140","37"
"5099","37"
"5070","36"
"5039","36"
"5005","36"
"4972","35"
"4939","35"
"4902","35"
"4868","35"
"4836","35"
"4807","35"
"4777","35"
"4742","34"
"4706","33"
"4676","33"
"4645","33"
"4612","33"
"4581","33"
"4553","33"
"4522","33"
"4492","33"
"4463","33"
"4438","32"
"4409","32"
"4382","31"
"4356","31"
"4328","31"
"4301","31"
"4274","31"
"4248","31"
"4221","31"
"4194","31"
"4166","30"
"4142","29"
"4117","27"
"4090","27"
"4070","26"
"4034","26"
"4011","26"
"3990","26"
"3962","26"
"3936","25"
"3915","25"
"3894","25"
"3881","25"
"3878","24"
"3860","23"
"3858","23"
"3857","23"
"3865","23"
"3865","23"
"3858","23"
"3852","23"
"3851","23"
"3851","23"
"3834","23"
"3824","23"
"3824","23"
"3829","22"
"3829","21"
"3833","21"
"3834","21"
"3843","21"
"3848","21"
"3844","21"
"3850","21"
"3835","21"
"3845","20"
"3828","19"
"3825","19"
"3827","19"
"3847","18"
"3856","18"
"3850","18"
"3845","18"
"3835","18"
"3835","18"
"3833","18"
"3844","18"
"3840","18"
"3845","18"
"3843","18"
"3843","18"
"3833","18"
"3825","18"
"3833","18"
"3819","18"
"3817","18"
"3826","18"
"3817","17"
"3821","17"
"3832","17"
"3819","17"
"3825","17"
"3835","17"
"3847","16"
"3847","16"
"3850","16"
"3850","16"
"3844","16"
"3845","16"
"3867","16"
"3852","16"
"3846","16"
"3856","16"
"3865","16"
"3860","16"
"3863","16"
"3862","16"
"3856","16"
"3861","16"
"3849","16"
"3848","16"
"3852","16"
"3848","16"
"3844","16"
"3845","16"
"3854","16"
"3857","16"
"3863","16"
"3880","16"
"3866","16"
"3861","16"
"3847","16"
"3864","16"
"3854","16"
"3856","16"
"3845","16"
"3841","16"
"3836","16"
"3843","16"
"3852","16"
"3846","16"
"3866","16"
"3878","16"
"3885","16"
"3868","16"
"3856","16"
"3869","15"
"3872","15"
"3870","15"
"3873","15"
"3865","15"
"3852","15"
"3851","15"
"3846","15"
"3833","15"
"3832","15"
"3816","15"
"3802","14"
"3786","14"
"3765","14"
"3748","13"
"3735","13"
"3715","13"
"3701","13"
"3687","13"
"3671","12"
"3658","12"
"3641","12"
"3629","12"
"3610","12"
"3594","12"
"3578","12"
"3563","12"
"3544","12"
"3530","12"
"3512","12"
"3502","11"
"3492","11"
"3471","11"
"3456","11"
"3440","11"
"3431","11"
"3420","11"
"3402","11"
"3390","10"
"3375","10"
"3363","10"
"3355","9"
"3341","9"
"3327","9"
"3314","9"
"3301","9"
"3286","9"
"3277","9"
"3264","9"
"3252","8"
"3243","8"
"3232","8"
"3215","7"
"3208","7"
"3200","6"
"3192","6"
"3185","6"
"3176","6"
"3173","6"
"3161","6"
"3150","6"
"3140","5"
"3125","5"
"3112","5"
"3102","5"
"3093","5"
"3084","5"
"3076","5"
"3064","5"
"3055","5"
"3049","5"
"3041","5"
"3034","5"
"3027","5"
"3015","5"
"3008","5"
"3002","5"
"2995","5"
"2986","5"
"2979","5"
"2970","5"
"2959","5"
"2954","5"
"2944","5"
"2934","5"
"2922","5"
"2913","5"
"2905","5"
"2911","5"
"2911","5"
"2902","5"
"2902","5"
"2906","5"
"2918","5"
"2918","5"
"2933","5"
"2956","5"
"2971","5"
"2973","5"
"2975","5"
"2981","5"
"3011","5"
"3028","5"
"3027","5"
"3039","5"
"3051","4"
"3072","4"
"3087","4"
"3103","4"
"3117","4"
"3116","4"
"3142","4"
"3165","4"
"3177","4"
"3193","4"
"3222","4"
"3225","4"
"3233","4"
"3244","4"
"3260","4"
"3268","4"
"3299","4"
"3315","7"
"3335","7"
"3336","6"
"3343","6"
"3374","6"
"3381","6"
"3421","6"
"3447","6"
"3478","6"
"3500","6"
"3531","6"
"3547","6"
"3560","6"
"3616","6"
"3652","6"
"3685","6"
"3708","6"
"3729","6"
"3761","6"
"3801","6"
"3825","6"
"3843","5"
"3849","5"
"3892","5"
"3917","5"
"3951","5"
"3967","4"
"4019","4"
"4043","4"
"4075","4"
"4115","3"
"4128","3"
"4163","3"
"4181","3"
"4204","3"
"4233","3"
"4260","3"
"4309","3"
"4346","3"
"4366","3"
"4378","3"
"4406","3"
"4473","3"
"4497","3"
"4540","3"
"4557","3"
"4597","3"
"4647","3"
"4694","3"
"4751","3"
"4836","3"
"4879","3"
"4926","3"
"4968","3"
"5012","3"
"5063","3"
"5092","3"
"5130","3"
"5190","2"
"5229","2"
"5264","2"
"5301","2"
"5330","2"
"5368","2"
