"Age","Time of death","Cause of death","Age years"
"1","1","AGE","10"
"1","1","HUNGER","0"
"1","1","HUNGER","5"
"1","1","HUNGER","5"
"1","1","HUNGER","5"
"1","1","HUNGER","7"
"1","1","HUNGER","9"
"1","1","HUNGER","4"
"1","1","HUNGER","10"
"1","1","HUNGER","9"
"1","1","HUNGER","7"
"1","1","HUNGER","10"
"1","1","HUNGER","10"
"1","1","HUNGER","2"
"1","1","HUNGER","3"
"1","1","HUNGER","9"
"1","1","HUNGER","5"
"1","1","HUNGER","7"
"1","1","HUNGER","2"
"1","1","HUNGER","10"
"1","1","HUNGER","5"
"1","1","HUNGER","2"
"5","5","AGE","10"
"6","6","AGE","10"
"6","6","AGE","10"
"6","6","AGE","10"
"8","8","AGE","9"
"9","9","AGE","10"
"24","24","AGE","9"
"49","49","AGE","9"
"63","63","HUNGER","6"
"71","71","HUNGER","3"
"73","73","HUNGER","3"
"94","94","HUNGER","7"
"96","96","HUNGER","7"
"103","103","HUNGER","2"
"11","103","HUNGER","0"
"113","113","AGE","10"
"25","116","HUNGER","0"
"24","116","HUNGER","0"
"117","117","HUNGER","7"
"11","119","HUNGER","0"
"19","127","HUNGER","0"
"12","128","HUNGER","0"
"13","131","HUNGER","0"
"133","133","HUNGER","3"
"134","134","HUNGER","1"
"136","136","HUNGER","5"
"143","143","HUNGER","0"
"40","148","HUNGER","0"
"36","149","HUNGER","0"
"41","154","HUNGER","0"
"43","159","HUNGER","0"
"170","170","HUNGER","3"
"57","175","HUNGER","0"
"49","182","HUNGER","0"
"91","183","HUNGER","0"
"79","189","HUNGER","0"
"77","193","HUNGER","0"
"220","220","HUNGER","5"
"89","222","HUNGER","0"
"92","225","HUNGER","0"
"124","227","HUNGER","0"
"139","230","HUNGER","0"
"232","232","HUNGER","6"
"233","233","HUNGER","3"
"236","236","HUNGER","6"
"239","239","HUNGER","0"
"130","240","HUNGER","0"
"162","261","HUNGER","0"
"267","267","HUNGER","6"
"269","269","HUNGER","0"
"176","272","HUNGER","0"
"274","274","HUNGER","1"
"280","280","HUNGER","6"
"184","287","HUNGER","0"
"291","291","HUNGER","2"
"292","292","HUNGER","6"
"302","302","HUNGER","1"
"303","303","HUNGER","8"
"312","312","HUNGER","8"
"208","322","HUNGER","0"
"334","334","HUNGER","6"
"337","337","HUNGER","0"
"225","339","HUNGER","0"
"353","353","HUNGER","2"
"353","353","HUNGER","3"
"367","367","HUNGER","1"
"376","376","AGE","9"
"241","377","HUNGER","0"
"395","395","HUNGER","1"
"281","399","HUNGER","0"
"403","403","HUNGER","3"
"419","419","HUNGER","7"
"325","421","HUNGER","0"
"335","436","HUNGER","0"
"323","437","HUNGER","0"
"344","443","HUNGER","0"
"451","451","HUNGER","3"
"456","456","HUNGER","3"
"412","511","HUNGER","1"
"404","539","HUNGER","0"
"426","561","HUNGER","0"
