"SQUIRREL","HAWK"
"11041","48"
"10562","48"
"10515","48"
"10510","48"
"10519","47"
"10458","44"
"10379","44"
"10302","43"
"10220","42"
"10143","42"
"10055","42"
"9981","42"
"9901","42"
"9836","42"
"9754","42"
"9665","42"
"9578","42"
"9503","42"
"9427","42"
"9341","42"
"9256","42"
"9183","42"
"9110","42"
"9033","41"
"8948","41"
"8873","41"
"8796","41"
"8721","41"
"8646","41"
"8579","41"
"8513","41"
"8439","41"
"8375","41"
"8303","41"
"8234","41"
"8167","41"
"8105","41"
"8040","41"
"7976","41"
"7918","41"
"7857","41"
"7785","41"
"7719","41"
"7659","41"
"7596","41"
"7530","41"
"7470","41"
"7402","41"
"7346","40"
"7285","40"
"7221","40"
"7163","40"
"7089","40"
"7031","40"
"6979","40"
"6915","40"
"6862","40"
"6799","40"
"6743","40"
"6689","40"
"6634","40"
"6581","40"
"6526","39"
"6468","39"
"6415","39"
"6361","39"
"6313","39"
"6262","39"
"6217","39"
"6167","39"
"6124","38"
"6073","38"
"6021","37"
"5970","37"
"5924","37"
"5887","37"
"5829","37"
"5790","37"
"5744","37"
"5704","37"
"5660","37"
"5616","37"
"5592","37"
"5572","37"
"5578","37"
"5603","37"
"5647","37"
"5692","37"
"5780","37"
"5820","37"
"5898","39"
"5937","42"
"5998","42"
"6054","41"
"6100","41"
"6154","42"
"6203","42"
"6238","42"
"6340","45"
"6382","45"
"6451","46"
"6507","46"
"6596","47"
"6620","47"
"6656","47"
"6666","47"
"6712","47"
"6740","50"
"6769","50"
"6858","52"
"6899","52"
"6945","52"
"6964","53"
"6970","56"
"6963","56"
"7014","57"
"7055","56"
"7104","59"
"7144","58"
"7149","58"
"7144","58"
"7177","58"
"7210","58"
"7240","58"
"7261","58"
"7293","58"
"7329","57"
"7337","56"
"7336","56"
"7351","56"
"7374","55"
"7399","55"
"7431","57"
"7438","56"
"7431","56"
"7441","56"
"7436","56"
"7431","56"
"7453","56"
"7497","56"
"7488","56"
"7496","56"
"7505","55"
"7567","55"
"7582","55"
"7587","55"
"7574","55"
"7577","54"
"7593","53"
"7581","53"
"7577","53"
"7599","53"
"7638","53"
"7634","52"
"7616","52"
"7609","52"
"7609","52"
"7593","52"
"7598","51"
"7591","51"
"7600","51"
"7602","51"
"7601","51"
"7642","51"
"7640","51"
"7631","51"
"7603","51"
"7604","51"
"7618","51"
"7601","50"
"7624","50"
"7641","50"
"7642","50"
"7629","50"
"7607","49"
"7575","49"
"7596","49"
"7587","49"
"7615","49"
"7607","49"
"7585","49"
"7559","48"
"7540","47"
"7520","47"
"7522","47"
"7478","47"
"7437","47"
"7390","47"
"7340","46"
"7293","46"
"7243","46"
"7195","46"
"7143","45"
"7095","45"
"7048","45"
"7001","45"
"6952","45"
"6907","45"
"6856","45"
"6806","45"
"6754","45"
"6709","45"
"6662","45"
"6615","45"
"6564","45"
"6513","45"
"6473","45"
"6432","45"
"6389","45"
"6342","45"
"6292","45"
"6247","45"
"6198","45"
"6159","45"
"6108","45"
"6069","45"
"6033","45"
"5991","45"
"5956","45"
"5927","44"
"5880","44"
"5843","43"
"5806","43"
"5767","43"
"5728","42"
"5688","42"
"5658","41"
"5619","41"
"5583","41"
"5541","40"
"5509","40"
"5470","39"
"5435","38"
"5397","38"
"5368","38"
"5332","37"
"5298","37"
"5266","37"
"5235","36"
"5203","35"
"5169","35"
"5140","35"
"5109","35"
"5079","35"
"5043","35"
"5010","35"
"4976","35"
"4950","35"
"4918","35"
"4884","35"
"4856","35"
"4825","35"
"4796","35"
"4763","35"
"4729","35"
"4694","35"
"4658","35"
"4627","35"
"4600","35"
"4567","35"
"4534","34"
"4502","34"
"4473","34"
"4442","34"
"4421","34"
"4414","34"
"4390","33"
"4382","33"
"4372","32"
"4376","32"
"4382","32"
"4377","31"
"4365","31"
"4359","30"
"4348","30"
"4337","30"
"4345","30"
"4343","30"
"4324","30"
"4324","29"
"4305","29"
"4313","29"
"4306","29"
"4296","29"
"4292","29"
"4298","29"
"4292","28"
"4299","28"
"4304","28"
"4292","28"
"4279","27"
"4274","26"
"4262","26"
"4253","26"
"4266","26"
"4254","26"
"4258","26"
"4246","26"
"4241","26"
"4254","26"
"4237","26"
"4228","25"
"4234","24"
"4234","24"
"4230","24"
"4207","24"
"4196","24"
"4187","24"
"4177","24"
"4153","24"
"4150","24"
"4147","23"
"4144","23"
"4135","23"
"4133","23"
"4131","23"
"4120","23"
"4141","23"
"4143","23"
"4146","23"
"4137","23"
"4146","22"
"4146","22"
"4139","22"
"4152","22"
"4152","22"
"4130","22"
"4113","22"
"4112","22"
"4111","22"
"4116","22"
"4113","22"
"4097","22"
"4101","21"
"4092","21"
"4095","21"
"4076","20"
"4078","20"
"4077","19"
"4065","19"
"4052","19"
"4041","19"
"4053","19"
