"Animal","Age","Time of death","Death cause","Total population"
"SQUIRREL","2","1","HUNGER","13904"
"SQUIRREL","1","1","HUNGER","13903"
"SQUIRREL","1","1","HUNGER","13902"
"SQUIRREL","2","1","HUNGER","13901"
"SQUIRREL","1","1","HUNGER","13900"
"SQUIRREL","0","1","HUNGER","13899"
"SQUIRREL","2","1","HUNGER","13898"
"SQUIRREL","2","1","HUNGER","13897"
"SQUIRREL","0","1","HUNGER","13896"
"SQUIRREL","1","1","HUNGER","13895"
"SQUIRREL","2","1","HUNGER","13894"
"SQUIRREL","0","1","HUNGER","13893"
"SQUIRREL","0","1","HUNGER","13892"
"SQUIRREL","2","1","HUNGER","13891"
"SQUIRREL","2","1","HUNGER","13890"
"SQUIRREL","1","1","HUNGER","13889"
"SQUIRREL","0","1","HUNGER","13888"
"SQUIRREL","2","1","HUNGER","13887"
"SQUIRREL","1","1","HUNGER","13886"
"SQUIRREL","2","1","HUNGER","13885"
"SQUIRREL","0","1","HUNGER","13884"
"SQUIRREL","1","1","HUNGER","13883"
"SQUIRREL","1","1","HUNGER","13882"
"SQUIRREL","0","1","HUNGER","13881"
"SQUIRREL","1","1","HUNGER","13880"
"SQUIRREL","0","1","HUNGER","13879"
"SQUIRREL","1","1","HUNGER","13878"
"SQUIRREL","0","1","HUNGER","13877"
"SQUIRREL","1","1","HUNGER","13876"
"SQUIRREL","1","1","HUNGER","13875"
"SQUIRREL","0","1","HUNGER","13874"
"SQUIRREL","2","1","HUNGER","13873"
"SQUIRREL","0","1","HUNGER","13872"
"SQUIRREL","1","1","HUNGER","13871"
"SQUIRREL","0","1","HUNGER","13870"
"SQUIRREL","2","1","HUNGER","13869"
"SQUIRREL","1","1","HUNGER","13868"
"SQUIRREL","0","1","HUNGER","13867"
"SQUIRREL","2","1","HUNGER","13866"
"SQUIRREL","0","1","HUNGER","13865"
"SQUIRREL","1","1","HUNGER","13864"
"SQUIRREL","0","1","HUNGER","13863"
"SQUIRREL","1","1","HUNGER","13862"
"SQUIRREL","1","1","HUNGER","13861"
"SQUIRREL","1","1","HUNGER","13860"
"SQUIRREL","2","1","HUNGER","13859"
"SQUIRREL","2","1","HUNGER","13858"
"SQUIRREL","0","1","HUNGER","13857"
"SQUIRREL","1","1","HUNGER","13856"
"SQUIRREL","1","1","HUNGER","13855"
"SQUIRREL","2","1","HUNGER","13854"
"SQUIRREL","0","1","HUNGER","13853"
"SQUIRREL","2","1","HUNGER","13852"
"SQUIRREL","1","1","HUNGER","13851"
