"Age","Time of death","Cause of death","Age years"
"1","1","HUNGER","0"
"1","1","HUNGER","5"
"1","1","HUNGER","5"
"1","1","HUNGER","5"
"1","1","HUNGER","7"
"1","1","HUNGER","9"
"1","1","HUNGER","4"
"1","1","HUNGER","10"
"1","1","HUNGER","9"
"1","1","HUNGER","7"
"1","1","HUNGER","10"
"1","1","HUNGER","10"
"1","1","HUNGER","2"
"1","1","HUNGER","3"
"1","1","HUNGER","9"
"1","1","HUNGER","5"
"1","1","HUNGER","7"
"1","1","HUNGER","2"
"1","1","HUNGER","10"
"1","1","HUNGER","5"
"1","1","HUNGER","2"
"4","4","AGE","10"
"6","6","AGE","10"
"9","9","AGE","10"
"11","11","AGE","9"
"14","14","AGE","9"
"16","16","AGE","10"
"16","16","AGE","9"
"25","25","AGE","10"
"26","26","AGE","10"
"28","28","AGE","10"
"49","49","HUNGER","3"
"59","59","HUNGER","3"
"70","70","HUNGER","6"
"71","71","HUNGER","6"
"76","76","HUNGER","8"
"76","76","HUNGER","7"
"77","77","HUNGER","7"
"83","83","HUNGER","1"
"87","87","HUNGER","3"
"94","94","HUNGER","2"
"94","94","HUNGER","1"
"95","95","HUNGER","2"
"97","97","HUNGER","3"
"100","100","HUNGER","6"
"105","105","HUNGER","0"
"106","106","HUNGER","0"
"108","108","HUNGER","8"
"110","110","HUNGER","6"
"112","112","HUNGER","7"
"114","114","HUNGER","5"
"132","132","HUNGER","3"
"136","136","HUNGER","2"
"142","142","HUNGER","3"
"38","142","HUNGER","0"
"144","144","HUNGER","0"
"11","147","HUNGER","0"
"35","154","HUNGER","0"
"21","154","HUNGER","0"
"36","155","HUNGER","0"
"16","156","HUNGER","0"
"158","158","HUNGER","1"
"18","158","HUNGER","0"
"161","161","HUNGER","6"
"163","163","HUNGER","5"
"28","164","HUNGER","0"
"65","169","HUNGER","0"
"31","171","HUNGER","0"
"175","175","HUNGER","6"
"42","175","HUNGER","0"
"177","177","HUNGER","8"
"58","194","HUNGER","0"
"201","201","HUNGER","0"
"204","204","HUNGER","6"
"113","217","HUNGER","0"
"223","223","HUNGER","0"
"257","257","HUNGER","2"
"264","264","HUNGER","6"
"268","268","HUNGER","2"
"277","277","HUNGER","2"
"281","281","HUNGER","0"
"300","300","HUNGER","1"
"323","323","HUNGER","2"
