"SQUIRREL","HAWK"
"11055","49"
"10331","49"
"10113","49"
"10039","48"
"10015","48"
"9884","47"
"9742","47"
"9614","47"
"9473","46"
"9348","46"
"9217","45"
"9089","45"
"8961","45"
"8837","44"
"8720","44"
"8611","42"
"8498","42"
"8390","42"
"8276","42"
"8162","42"
"8060","42"
"7950","42"
"7842","42"
"7731","42"
"7628","41"
"7513","40"
"7413","40"
"7314","39"
"7222","39"
"7135","39"
"7041","39"
"6968","39"
"6885","39"
"6800","39"
"6702","39"
"6610","39"
"6533","39"
"6450","39"
"6376","39"
"6294","39"
"6199","39"
"6127","39"
"6044","39"
"5957","39"
"5885","39"
"5804","39"
"5731","39"
"5655","39"
"5583","38"
"5505","38"
"5428","38"
"5370","38"
"5300","38"
"5233","38"
"5173","38"
"5098","38"
"5037","38"
"4976","38"
"4914","37"
"4853","37"
"4790","37"
"4731","37"
"4674","37"
"4614","37"
"4562","37"
"4506","37"
"4458","37"
"4396","37"
"4339","37"
"4284","36"
"4235","35"
"4179","35"
"4132","35"
"4087","35"
"4033","35"
"3993","33"
"3939","32"
"3892","32"
"3849","32"
"3793","32"
"3756","32"
"3713","32"
"3680","31"
"3646","31"
"3633","31"
"3624","31"
"3656","30"
"3660","30"
"3679","30"
"3706","30"
"3744","30"
"3770","30"
"3786","30"
"3811","28"
"3822","27"
"3804","27"
"3777","26"
"3782","26"
"3782","26"
"3814","25"
"3848","25"
"3848","25"
"3860","25"
"3883","28"
"3894","27"
"3912","26"
"3920","26"
"3947","25"
"3941","25"
"3946","24"
"3944","24"
"3930","23"
"3947","23"
"3916","22"
"3912","22"
"3922","22"
"3927","22"
"3944","22"
"3946","24"
"3964","24"
"3975","24"
"3969","24"
"3994","24"
"4002","24"
"3994","24"
"3979","24"
"3983","24"
"3972","24"
"3976","24"
"3987","24"
"3981","24"
"3960","23"
"3970","25"
"3968","25"
"3976","25"
"3966","27"
"3952","27"
"3968","27"
"3963","27"
"3956","30"
"3957","30"
"3953","28"
"3961","28"
"3967","27"
"3950","27"
"3952","27"
"3951","26"
"3935","26"
"3931","26"
"3918","26"
"3931","26"
"3930","26"
"3920","26"
"3923","24"
"3930","23"
"3924","22"
"3932","22"
"3935","20"
"3926","20"
"3930","20"
"3914","19"
"3928","19"
"3906","18"
"3918","17"
"3926","17"
"3921","17"
"3918","17"
"3907","17"
"3911","16"
"3896","16"
"3890","15"
"3892","15"
"3872","15"
"3855","15"
"3860","13"
"3862","13"
"3860","12"
"3874","12"
"3861","12"
"3889","12"
"3865","12"
"3858","12"
"3845","12"
"3827","12"
"3807","12"
"3780","12"
"3755","12"
"3737","12"
"3703","12"
"3675","12"
"3648","12"
"3618","12"
"3580","12"
"3553","11"
"3519","11"
"3495","11"
"3467","11"
"3432","11"
"3401","11"
"3380","11"
"3357","10"
"3332","10"
"3303","10"
"3271","9"
"3247","9"
"3224","9"
"3200","9"
"3173","9"
"3150","9"
"3137","9"
"3116","9"
"3090","9"
"3063","9"
"3045","9"
"3021","9"
"2992","9"
"2971","8"
"2952","8"
"2942","8"
"2927","8"
"2908","8"
"2887","8"
"2868","7"
"2847","7"
"2823","7"
"2803","7"
"2784","7"
"2762","7"
"2742","7"
"2719","7"
"2700","7"
"2685","7"
"2657","7"
"2633","7"
"2608","7"
"2595","7"
"2577","7"
"2554","7"
"2538","7"
"2517","7"
"2501","7"
"2486","7"
"2462","7"
"2441","7"
"2426","7"
"2405","7"
"2385","7"
"2368","7"
"2345","7"
"2329","7"
"2311","7"
"2296","7"
"2283","7"
"2269","7"
"2257","7"
"2242","7"
"2224","6"
"2200","6"
"2182","6"
"2171","6"
"2161","6"
"2143","6"
"2127","6"
"2113","5"
"2099","5"
"2085","5"
"2074","5"
"2070","4"
"2064","4"
"2058","4"
"2070","4"
"2078","4"
"2073","4"
"2085","4"
"2100","4"
"2100","4"
"2104","3"
"2109","3"
"2104","3"
"2101","3"
"2098","2"
"2092","2"
"2091","2"
"2084","2"
"2071","2"
"2074","2"
"2076","2"
"2070","2"
"2077","2"
"2068","2"
"2077","2"
"2075","2"
"2071","2"
"2075","2"
"2067","2"
"2063","2"
"2049","2"
"2043","2"
"2044","2"
"2028","1"
"2046","1"
"2041","1"
"2028","1"
"2024","1"
"2011","1"
"1996","1"
"1982","1"
"1970","1"
"1976","1"
"1964","1"
"1948","1"
"1939","1"
"1934","1"
"1942","1"
"1929","1"
"1923","1"
"1919","1"
"1935","1"
"1929","1"
"1916","1"
"1913","1"
"1901","1"
"1894","0"
"1894","0"
"1884","0"
"1881","0"
"1883","0"
"1890","0"
"1885","0"
"1886","0"
"1888","0"
"1889","0"
"1870","0"
"1853","0"
"1859","0"
"1849","0"
"1843","0"
"1834","0"
"1826","0"
"1819","0"
"1825","0"
"1821","0"
"1821","0"
"1813","0"
"1804","0"
"1795","0"
"1799","0"
"1787","0"
"1777","0"
"1779","0"
"1792","0"
"1778","0"
"1774","0"
"1768","0"
"1769","0"
"1760","0"
"1763","0"
"1758","0"
"1761","0"
"1750","0"
"1748","0"
"1752","0"
"1749","0"
"1732","0"
"1731","0"
"1724","0"
"1710","0"
"1705","0"
"1701","0"
"1692","0"
"1683","0"
"1676","0"
"1665","0"
"1658","0"
"1649","0"
"1637","0"
"1625","0"
"1614","0"
"1604","0"
"1590","0"
"1581","0"
"1571","0"
"1555","0"
"1548","0"
"1543","0"
"1535","0"
"1526","0"
"1517","0"
"1509","0"
"1499","0"
"1494","0"
"1485","0"
"1474","0"
"1463","0"
"1455","0"
"1448","0"
"1438","0"
"1430","0"
"1423","0"
"1414","0"
"1407","0"
"1397","0"
"1391","0"
"1382","0"
"1380","0"
"1372","0"
"1366","0"
"1356","0"
"1350","0"
"1337","0"
"1328","0"
"1319","0"
"1313","0"
"1308","0"
"1299","0"
"1294","0"
"1288","0"
"1277","0"
"1268","0"
"1250","0"
"1240","0"
"1233","0"
"1231","0"
"1226","0"
"1218","0"
"1202","0"
"1191","0"
"1181","0"
"1169","0"
"1158","0"
"1153","0"
"1148","0"
"1138","0"
"1132","0"
"1124","0"
"1119","0"
"1111","0"
"1101","0"
"1094","0"
"1087","0"
"1078","0"
"1072","0"
"1068","0"
"1058","0"
"1056","0"
"1052","0"
"1049","0"
"1039","0"
"1036","0"
"1038","0"
"1033","0"
"1032","0"
"1035","0"
"1044","0"
"1035","0"
"1032","0"
"1033","0"
"1033","0"
"1025","0"
"1021","0"
"1028","0"
"1024","0"
"1029","0"
"1020","0"
"1025","0"
"1023","0"
"1017","0"
"1025","0"
"1020","0"
"1016","0"
"1031","0"
"1034","0"
"1025","0"
"1026","0"
"1027","0"
"1023","0"
"1020","0"
"1020","0"
"1027","0"
"1025","0"
"1037","0"
"1038","0"
"1032","0"
"1038","0"
"1040","0"
"1042","0"
"1040","0"
"1047","0"
"1054","0"
"1056","0"
"1075","0"
"1078","0"
"1075","0"
"1066","0"
"1062","0"
"1058","0"
"1068","0"
"1064","0"
"1057","0"
"1065","0"
"1076","0"
"1081","0"
"1073","0"
"1075","0"
"1080","0"
"1093","0"
"1085","0"
"1095","0"
"1114","0"
"1107","0"
"1115","0"
"1108","0"
"1110","0"
"1109","0"
"1111","0"
"1114","0"
"1112","0"
"1107","0"
"1106","0"
"1106","0"
"1103","0"
"1093","0"
"1086","0"
"1080","0"
"1084","0"
"1083","0"
"1090","0"
"1083","0"
"1093","0"
"1100","0"
"1103","0"
"1112","0"
"1105","0"
"1114","0"
"1113","0"
"1113","0"
"1116","0"
"1120","0"
"1118","0"
"1113","0"
"1118","0"
"1114","0"
"1139","0"
"1149","0"
"1155","0"
"1162","0"
"1167","0"
"1172","0"
"1166","0"
"1169","0"
"1179","0"
"1173","0"
"1169","0"
"1163","0"
"1156","0"
"1149","0"
"1142","0"
"1138","0"
"1131","0"
"1128","0"
"1120","0"
"1113","0"
"1112","0"
"1103","0"
"1099","0"
"1090","0"
"1086","0"
"1074","0"
"1066","0"
"1061","0"
"1055","0"
"1048","0"
"1041","0"
"1030","0"
"1022","0"
"1018","0"
"1012","0"
"1005","0"
"994","0"
"987","0"
"979","0"
"975","0"
"972","0"
"968","0"
"962","0"
"960","0"
"953","0"
"945","0"
"942","0"
"940","0"
"932","0"
"928","0"
"924","0"
"918","0"
"912","0"
"911","0"
"905","0"
"899","0"
"892","0"
"888","0"
"887","0"
"884","0"
"880","0"
"876","0"
"873","0"
"870","0"
"868","0"
"864","0"
"863","0"
"857","0"
"854","0"
"847","0"
"841","0"
"834","0"
"830","0"
"823","0"
"819","0"
"817","0"
"811","0"
"803","0"
"799","0"
"796","0"
"788","0"
"782","0"
"772","0"
"765","0"
"762","0"
"757","0"
"756","0"
"752","0"
"750","0"
"767","0"
"762","0"
"761","0"
"760","0"
"764","0"
"759","0"
"756","0"
"752","0"
"743","0"
"743","0"
"739","0"
"746","0"
"748","0"
"745","0"
"756","0"
"755","0"
"752","0"
"753","0"
"756","0"
"766","0"
"776","0"
"772","0"
"772","0"
"773","0"
"781","0"
"778","0"
"777","0"
"781","0"
"776","0"
"776","0"
"784","0"
"783","0"
"784","0"
"783","0"
"777","0"
"783","0"
"791","0"
"790","0"
"784","0"
"777","0"
"774","0"
"770","0"
"763","0"
"779","0"
"777","0"
"781","0"
"787","0"
"791","0"
"800","0"
"807","0"
"813","0"
"810","0"
"816","0"
"821","0"
"821","0"
"815","0"
"823","0"
"825","0"
"828","0"
"828","0"
"829","0"
"832","0"
"836","0"
"826","0"
"832","0"
"844","0"
"852","0"
"854","0"
"864","0"
"867","0"
"869","0"
"873","0"
"869","0"
"872","0"
"874","0"
"887","0"
"885","0"
"877","0"
"871","0"
"868","0"
"865","0"
"865","0"
"862","0"
"869","0"
"866","0"
"874","0"
"871","0"
"865","0"
"862","0"
"863","0"
"862","0"
"860","0"
"855","0"
"862","0"
"875","0"
"881","0"
"881","0"
"878","0"
"874","0"
"871","0"
"868","0"
"865","0"
"856","0"
"853","0"
"845","0"
"842","0"
"840","0"
"832","0"
"825","0"
"816","0"
"812","0"
"809","0"
"802","0"
"799","0"
"793","0"
"791","0"
"782","0"
"780","0"
"775","0"
"772","0"
"767","0"
"760","0"
"753","0"
"747","0"
"739","0"
"735","0"
"730","0"
"723","0"
"719","0"
"713","0"
"707","0"
"703","0"
"700","0"
"696","0"
"689","0"
"681","0"
"673","0"
"667","0"
"664","0"
"660","0"
"656","0"
"652","0"
"648","0"
"645","0"
"633","0"
"630","0"
"623","0"
"619","0"
"615","0"
"607","0"
"603","0"
"603","0"
"598","0"
"597","0"
"595","0"
"593","0"
"590","0"
"586","0"
"583","0"
"580","0"
"575","0"
"572","0"
"567","0"
"564","0"
"560","0"
"557","0"
"555","0"
"553","0"
"550","0"
"546","0"
"545","0"
"542","0"
"540","0"
"538","0"
"534","0"
"527","0"
"520","0"
"517","0"
"513","0"
"508","0"
"507","0"
"503","0"
"504","0"
"502","0"
"506","0"
"507","0"
"504","0"
"502","0"
"501","0"
"505","0"
"507","0"
"507","0"
"508","0"
"510","0"
"506","0"
"502","0"
"505","0"
"504","0"
"500","0"
"504","0"
"506","0"
"505","0"
"505","0"
"505","0"
"511","0"
"507","0"
"504","0"
"510","0"
"509","0"
"511","0"
"515","0"
"518","0"
"515","0"
"516","0"
"514","0"
"514","0"
"512","0"
"508","0"
"506","0"
"509","0"
"510","0"
"512","0"
"511","0"
"514","0"
"511","0"
"516","0"
"513","0"
"521","0"
"516","0"
"516","0"
"519","0"
"516","0"
"514","0"
"517","0"
"515","0"
"515","0"
"514","0"
"519","0"
"516","0"
"515","0"
"524","0"
"522","0"
"523","0"
"529","0"
"529","0"
"524","0"
"521","0"
"519","0"
"524","0"
"525","0"
"523","0"
"522","0"
"523","0"
"528","0"
"526","0"
"525","0"
"526","0"
"527","0"
"531","0"
"529","0"
"534","0"
"539","0"
"537","0"
"532","0"
"529","0"
"529","0"
"526","0"
"523","0"
"520","0"
"520","0"
"519","0"
"526","0"
"540","0"
"538","0"
"533","0"
"549","0"
"556","0"
"553","0"
"557","0"
"555","0"
"555","0"
"553","0"
"547","0"
"541","0"
"534","0"
"530","0"
"523","0"
"521","0"
"518","0"
"510","0"
"506","0"
"503","0"
"498","0"
"496","0"
"489","0"
"486","0"
"482","0"
"478","0"
"474","0"
"473","0"
"467","0"
"465","0"
"462","0"
"458","0"
"454","0"
"453","0"
"450","0"
"448","0"
"445","0"
"444","0"
"441","0"
"437","0"
"433","0"
"429","0"
"428","0"
"427","0"
"426","0"
"425","0"
"424","0"
"423","0"
"421","0"
"418","0"
"414","0"
"413","0"
"412","0"
"410","0"
"409","0"
"407","0"
"407","0"
"403","0"
"399","0"
"398","0"
"397","0"
"393","0"
"390","0"
"389","0"
"389","0"
"386","0"
"385","0"
"382","0"
"380","0"
"377","0"
"372","0"
"369","0"
"365","0"
"364","0"
"360","0"
"356","0"
"355","0"
"354","0"
"353","0"
"352","0"
"347","0"
"347","0"
"342","0"
"341","0"
"340","0"
"338","0"
"338","0"
"333","0"
"333","0"
"330","0"
"328","0"
"324","0"
"330","0"
"335","0"
"337","0"
"338","0"
"336","0"
"338","0"
"346","0"
"345","0"
"346","0"
"348","0"
"346","0"
"344","0"
"349","0"
"346","0"
"351","0"
"351","0"
"352","0"
"352","0"
"348","0"
"349","0"
"348","0"
"347","0"
"344","0"
"347","0"
"346","0"
"343","0"
"347","0"
"346","0"
"345","0"
"343","0"
"341","0"
"340","0"
"344","0"
"343","0"
"340","0"
"338","0"
"342","0"
"347","0"
"345","0"
"338","0"
"337","0"
"347","0"
"350","0"
"348","0"
"347","0"
"350","0"
"358","0"
"355","0"
"359","0"
"360","0"
"361","0"
"356","0"
"355","0"
"359","0"
"363","0"
"360","0"
"368","0"
"376","0"
"375","0"
"373","0"
"370","0"
"368","0"
"369","0"
"370","0"
"375","0"
"378","0"
"379","0"
"379","0"
"383","0"
"385","0"
"382","0"
"380","0"
"378","0"
"378","0"
"380","0"
"376","0"
"374","0"
"373","0"
"371","0"
"369","0"
"373","0"
"379","0"
"377","0"
"389","0"
"393","0"
"398","0"
"403","0"
"399","0"
"402","0"
"400","0"
"400","0"
"401","0"
"398","0"
"400","0"
"398","0"
"397","0"
"392","0"
"389","0"
"388","0"
"387","0"
"386","0"
"389","0"
"386","0"
"383","0"
"381","0"
"379","0"
"375","0"
"373","0"
"372","0"
"372","0"
"370","0"
"370","0"
"368","0"
"365","0"
"361","0"
"359","0"
"358","0"
"353","0"
"349","0"
"348","0"
"348","0"
"348","0"
"345","0"
"340","0"
"339","0"
"339","0"
"337","0"
"335","0"
"335","0"
"334","0"
"330","0"
"330","0"
"328","0"
"323","0"
"322","0"
"321","0"
"319","0"
"316","0"
"314","0"
"311","0"
"310","0"
"306","0"
"303","0"
"303","0"
"301","0"
"300","0"
"298","0"
"295","0"
"294","0"
"294","0"
"293","0"
"292","0"
"291","0"
"290","0"
"288","0"
"287","0"
"286","0"
"284","0"
"284","0"
"283","0"
"281","0"
"281","0"
"280","0"
"278","0"
"277","0"
"276","0"
"275","0"
"274","0"
"272","0"
"269","0"
"269","0"
"266","0"
"265","0"
"263","0"
"261","0"
"258","0"
"258","0"
"258","0"
"256","0"
"252","0"
"249","0"
"247","0"
"244","0"
"239","0"
"244","0"
"244","0"
"256","0"
"254","0"
"258","0"
"256","0"
"262","0"
"259","0"
"257","0"
"256","0"
"255","0"
"255","0"
"255","0"
"256","0"
"261","0"
"260","0"
"260","0"
"266","0"
"266","0"
"266","0"
"265","0"
