"Animal","Age","Time of death","Death cause","Total population"
"HAWK","9","1","HUNGER","6557"
"HAWK","5","1","HUNGER","6556"
"SQUIRREL","1","1","HUNGER","6555"
"HAWK","9","1","HUNGER","6554"
"HAWK","8","1","HUNGER","6553"
"SQUIRREL","2","1","HUNGER","6552"
"SQUIRREL","1","1","HUNGER","6551"
"SQUIRREL","1","1","HUNGER","6550"
"SQUIRREL","0","1","HUNGER","6549"
"SQUIRREL","0","1","HUNGER","6548"
"HAWK","8","1","HUNGER","6547"
"HAWK","10","1","HUNGER","6546"
"HAWK","1","1","HUNGER","6545"
"HAWK","0","1","HUNGER","6544"
"SQUIRREL","1","1","EATEN","6543"
"HAWK","2","1","HUNGER","6542"
"SQUIRREL","0","1","HUNGER","6541"
"HAWK","4","1","HUNGER","6540"
"HAWK","8","1","HUNGER","6539"
"SQUIRREL","2","1","EATEN","6538"
"SQUIRREL","2","1","HUNGER","6537"
"SQUIRREL","2","1","HUNGER","6536"
"SQUIRREL","1","1","EATEN","6535"
"SQUIRREL","2","1","HUNGER","6534"
"SQUIRREL","0","1","HUNGER","6533"
"SQUIRREL","0","1","HUNGER","6532"
"SQUIRREL","1","1","HUNGER","6531"
"SQUIRREL","2","1","HUNGER","6530"
"HAWK","3","1","HUNGER","6529"
"SQUIRREL","0","1","EATEN","6528"
"HAWK","2","1","HUNGER","6527"
"HAWK","8","1","HUNGER","6526"
"HAWK","6","1","HUNGER","6525"
"SQUIRREL","2","1","HUNGER","6524"
"SQUIRREL","0","1","EATEN","6523"
"HAWK","10","1","HUNGER","6522"
"SQUIRREL","0","1","HUNGER","6521"
"SQUIRREL","1","1","EATEN","6520"
"HAWK","6","1","HUNGER","6519"
"SQUIRREL","2","1","EATEN","6518"
"HAWK","3","1","HUNGER","6517"
"SQUIRREL","1","1","EATEN","6516"
"SQUIRREL","2","1","AGE","6515"
"SQUIRREL","1","1","EATEN","6514"
"SQUIRREL","1","1","HUNGER","6513"
"SQUIRREL","1","1","HUNGER","6512"
"SQUIRREL","0","1","HUNGER","6511"
"SQUIRREL","0","1","EATEN","6510"
"HAWK","6","1","HUNGER","6509"
"SQUIRREL","1","1","EATEN","6508"
"SQUIRREL","0","1","HUNGER","6507"
"HAWK","4","1","HUNGER","6506"
"HAWK","8","1","HUNGER","6505"
"SQUIRREL","1","1","HUNGER","6504"
"HAWK","7","1","HUNGER","6503"
"HAWK","8","1","HUNGER","6502"
"HAWK","3","1","HUNGER","6501"
"SQUIRREL","1","1","EATEN","6500"
"SQUIRREL","0","1","EATEN","6499"
"SQUIRREL","1","1","HUNGER","6498"
"SQUIRREL","0","1","EATEN","6497"
"SQUIRREL","2","1","HUNGER","6496"
"SQUIRREL","1","1","HUNGER","6495"
"HAWK","7","1","HUNGER","6494"
"HAWK","4","1","HUNGER","6493"
"SQUIRREL","1","1","HUNGER","6492"
"SQUIRREL","1","1","HUNGER","6491"
"HAWK","3","1","HUNGER","6490"
"SQUIRREL","2","1","HUNGER","6489"
"HAWK","6","1","HUNGER","6488"
"SQUIRREL","1","1","EATEN","6487"
"SQUIRREL","1","1","HUNGER","6486"
"SQUIRREL","1","1","HUNGER","6485"
"HAWK","7","1","HUNGER","6484"
"SQUIRREL","2","1","EATEN","6483"
"HAWK","10","1","AGE","6482"
"HAWK","1","1","HUNGER","6481"
"HAWK","8","1","HUNGER","6480"
"HAWK","6","1","HUNGER","6479"
"SQUIRREL","1","1","EATEN","6478"
"SQUIRREL","0","1","EATEN","6477"
"SQUIRREL","2","1","AGE","6476"
"HAWK","4","1","HUNGER","6475"
"SQUIRREL","1","1","HUNGER","6474"
"HAWK","7","1","HUNGER","6473"
"SQUIRREL","2","1","HUNGER","6472"
"HAWK","1","1","HUNGER","6471"
"SQUIRREL","1","1","HUNGER","6470"
"SQUIRREL","1","1","EATEN","6469"
"HAWK","4","1","HUNGER","6468"
"HAWK","6","1","HUNGER","6467"
"HAWK","6","1","HUNGER","6466"
"SQUIRREL","2","1","HUNGER","6465"
"SQUIRREL","0","1","HUNGER","6464"
"SQUIRREL","0","1","HUNGER","6463"
"HAWK","1","1","HUNGER","6462"
"HAWK","5","1","HUNGER","6461"
"SQUIRREL","2","1","EATEN","6460"
"SQUIRREL","0","1","HUNGER","6459"
"HAWK","7","1","HUNGER","6458"
"SQUIRREL","1","1","HUNGER","6457"
"HAWK","8","1","HUNGER","6456"
"HAWK","3","1","HUNGER","6455"
"HAWK","9","1","HUNGER","6454"
"SQUIRREL","1","1","EATEN","6453"
"SQUIRREL","2","1","HUNGER","6452"
"SQUIRREL","0","1","HUNGER","6451"
"SQUIRREL","1","1","EATEN","6450"
"SQUIRREL","1","1","HUNGER","6449"
"HAWK","4","1","HUNGER","6448"
"SQUIRREL","0","1","EATEN","6447"
"SQUIRREL","0","1","HUNGER","6446"
"HAWK","3","1","HUNGER","6445"
"SQUIRREL","2","1","EATEN","6444"
"SQUIRREL","1","1","EATEN","6443"
"HAWK","0","1","HUNGER","6442"
"HAWK","10","1","HUNGER","6441"
"SQUIRREL","0","1","HUNGER","6440"
"SQUIRREL","1","1","EATEN","6439"
"SQUIRREL","0","1","HUNGER","6438"
"SQUIRREL","1","1","HUNGER","6437"
"HAWK","1","1","HUNGER","6436"
"HAWK","10","1","HUNGER","6435"
"HAWK","6","1","HUNGER","6434"
"HAWK","10","1","HUNGER","6433"
"SQUIRREL","0","1","EATEN","6432"
"SQUIRREL","1","1","HUNGER","6431"
"HAWK","3","1","HUNGER","6430"
"SQUIRREL","2","1","EATEN","6429"
"SQUIRREL","0","1","HUNGER","6428"
"HAWK","3","1","HUNGER","6427"
"HAWK","5","1","HUNGER","6426"
"HAWK","5","1","HUNGER","6425"
"HAWK","4","1","HUNGER","6424"
"HAWK","4","1","HUNGER","6423"
"HAWK","2","1","HUNGER","6422"
"SQUIRREL","1","1","HUNGER","6421"
"SQUIRREL","2","1","HUNGER","6420"
"HAWK","0","1","HUNGER","6419"
"SQUIRREL","2","1","HUNGER","6418"
"SQUIRREL","0","1","HUNGER","6417"
"SQUIRREL","1","1","HUNGER","6416"
"HAWK","8","1","HUNGER","6415"
"HAWK","10","1","HUNGER","6414"
"HAWK","4","1","HUNGER","6413"
"SQUIRREL","2","1","HUNGER","6412"
"HAWK","8","1","HUNGER","6411"
"HAWK","6","1","HUNGER","6410"
"HAWK","6","1","HUNGER","6409"
"HAWK","0","1","HUNGER","6408"
"SQUIRREL","0","1","HUNGER","6407"
"SQUIRREL","2","1","EATEN","6406"
"SQUIRREL","0","1","HUNGER","6405"
"SQUIRREL","0","1","EATEN","6404"
"HAWK","5","1","HUNGER","6403"
"SQUIRREL","2","1","HUNGER","6402"
"SQUIRREL","0","1","EATEN","6401"
"HAWK","3","1","HUNGER","6400"
"HAWK","9","1","HUNGER","6399"
"SQUIRREL","2","1","HUNGER","6398"
"HAWK","9","1","AGE","6397"
"SQUIRREL","1","1","EATEN","6396"
"SQUIRREL","0","1","EATEN","6395"
"SQUIRREL","1","1","EATEN","6394"
"HAWK","10","1","HUNGER","6393"
"HAWK","8","1","HUNGER","6392"
"SQUIRREL","2","1","HUNGER","6391"
"SQUIRREL","2","1","HUNGER","6390"
"HAWK","3","1","HUNGER","6389"
"SQUIRREL","2","1","EATEN","6388"
"SQUIRREL","1","1","HUNGER","6387"
"SQUIRREL","2","1","EATEN","6386"
"SQUIRREL","0","1","EATEN","6385"
"SQUIRREL","0","1","HUNGER","6384"
"SQUIRREL","2","1","HUNGER","6383"
"HAWK","6","1","HUNGER","6382"
"SQUIRREL","0","1","HUNGER","6381"
"SQUIRREL","2","1","HUNGER","6380"
"HAWK","8","1","HUNGER","6379"
"HAWK","2","1","HUNGER","6378"
"HAWK","2","1","HUNGER","6377"
"SQUIRREL","2","1","HUNGER","6376"
"SQUIRREL","1","1","HUNGER","6375"
"SQUIRREL","2","1","HUNGER","6374"
"HAWK","0","1","HUNGER","6373"
"SQUIRREL","2","1","HUNGER","6372"
"SQUIRREL","2","1","HUNGER","6371"
"SQUIRREL","2","1","HUNGER","6370"
"HAWK","1","1","HUNGER","6369"
"SQUIRREL","1","1","HUNGER","6368"
"HAWK","4","1","HUNGER","6367"
"SQUIRREL","2","1","HUNGER","6366"
"SQUIRREL","0","1","HUNGER","6365"
"HAWK","4","1","HUNGER","6364"
"SQUIRREL","1","1","HUNGER","6363"
"HAWK","8","1","HUNGER","6362"
"SQUIRREL","1","1","EATEN","6361"
"HAWK","10","1","AGE","6360"
"SQUIRREL","2","1","HUNGER","6359"
"HAWK","3","1","HUNGER","6358"
"SQUIRREL","1","1","HUNGER","6357"
"SQUIRREL","0","1","EATEN","6356"
"SQUIRREL","0","1","HUNGER","6355"
"HAWK","1","1","HUNGER","6354"
"HAWK","6","1","HUNGER","6353"
"HAWK","6","1","HUNGER","6352"
"HAWK","6","1","HUNGER","6351"
"HAWK","8","1","HUNGER","6350"
"HAWK","4","1","HUNGER","6349"
"HAWK","9","1","AGE","6348"
"SQUIRREL","2","1","HUNGER","6347"
"SQUIRREL","2","1","HUNGER","6346"
"SQUIRREL","2","1","EATEN","6345"
"SQUIRREL","1","1","HUNGER","6344"
"SQUIRREL","0","1","EATEN","6343"
"SQUIRREL","0","1","EATEN","6342"
"SQUIRREL","0","1","HUNGER","6341"
"SQUIRREL","0","1","HUNGER","6340"
"SQUIRREL","0","1","HUNGER","6339"
"SQUIRREL","2","1","EATEN","6338"
"SQUIRREL","2","1","HUNGER","6337"
"SQUIRREL","1","1","HUNGER","6336"
"HAWK","3","1","HUNGER","6335"
"HAWK","1","1","HUNGER","6334"
"SQUIRREL","1","1","HUNGER","6333"
"SQUIRREL","2","1","EATEN","6332"
"SQUIRREL","0","1","HUNGER","6331"
"SQUIRREL","1","1","EATEN","6330"
"HAWK","5","1","HUNGER","6329"
"HAWK","7","1","HUNGER","6328"
"HAWK","3","1","HUNGER","6327"
"SQUIRREL","1","1","HUNGER","6326"
"SQUIRREL","0","1","EATEN","6325"
"HAWK","0","1","HUNGER","6324"
"SQUIRREL","2","1","EATEN","6323"
"SQUIRREL","2","1","HUNGER","6322"
"HAWK","6","1","HUNGER","6321"
"HAWK","7","1","HUNGER","6320"
"HAWK","5","1","HUNGER","6319"
"SQUIRREL","1","1","HUNGER","6318"
"SQUIRREL","0","1","HUNGER","6317"
"SQUIRREL","2","1","HUNGER","6316"
"HAWK","3","1","HUNGER","6315"
"SQUIRREL","0","1","HUNGER","6314"
"HAWK","6","1","HUNGER","6313"
