"Age","Time of death","Cause of death","Age years"
"1","1","HUNGER","3"
"1","1","HUNGER","6"
"1","1","HUNGER","10"
"1","1","HUNGER","5"
"1","1","HUNGER","3"
"1","1","HUNGER","7"
"1","1","HUNGER","3"
"1","1","HUNGER","10"
"1","1","HUNGER","9"
"1","1","HUNGER","4"
"1","1","HUNGER","6"
"1","1","HUNGER","10"
"1","1","HUNGER","0"
"1","1","HUNGER","0"
"1","1","HUNGER","2"
"1","1","HUNGER","10"
"1","1","HUNGER","6"
"1","1","HUNGER","6"
"1","1","HUNGER","10"
"1","1","HUNGER","10"
"1","1","HUNGER","1"
"1","1","HUNGER","9"
"1","1","HUNGER","6"
"1","1","HUNGER","2"
"1","1","HUNGER","3"
"1","1","HUNGER","2"
"1","1","HUNGER","10"
"1","1","HUNGER","10"
"2","2","AGE","9"
"11","11","AGE","10"
"14","14","AGE","9"
"17","17","AGE","10"
"21","21","AGE","9"
"35","35","AGE","10"
"49","49","HUNGER","7"
"49","49","HUNGER","7"
"51","51","HUNGER","6"
"55","55","HUNGER","5"
"58","58","HUNGER","0"
"58","58","HUNGER","6"
"64","64","HUNGER","5"
"65","65","HUNGER","0"
"66","66","HUNGER","3"
"68","68","HUNGER","3"
"69","69","HUNGER","0"
"70","70","HUNGER","2"
"71","71","HUNGER","7"
"75","75","HUNGER","0"
"77","77","HUNGER","5"
"77","77","HUNGER","1"
"79","79","HUNGER","2"
"80","80","HUNGER","2"
"82","82","HUNGER","5"
"85","85","HUNGER","8"
"86","86","HUNGER","5"
"86","86","HUNGER","3"
"88","88","HUNGER","7"
"88","88","AGE","9"
"89","89","HUNGER","0"
"106","106","HUNGER","7"
"107","107","HUNGER","2"
"117","117","HUNGER","5"
"148","148","HUNGER","8"
"149","149","HUNGER","1"
"221","221","HUNGER","1"
"233","233","HUNGER","2"
"291","291","HUNGER","6"
"292","292","HUNGER","2"
"434","434","AGE","9"
"509","509","HUNGER","3"
"379","510","HUNGER","0"
"509","640","HUNGER","0"
