"SQUIRREL","HAWK"
"11051","42"
"10553","41"
"10409","41"
"10377","41"
"10338","41"
"10288","41"
"10199","41"
"10112","41"
"10023","41"
"9943","41"
"9855","40"
"9772","40"
"9704","40"
"9628","39"
"9538","39"
"9465","39"
"9390","38"
"9319","38"
"9247","38"
"9172","38"
"9101","37"
"9026","37"
"8958","37"
"8882","37"
"8815","37"
"8752","37"
"8690","37"
"8618","37"
"8539","37"
"8468","37"
"8405","37"
"8327","37"
"8256","37"
"8193","37"
"8132","36"
"8070","36"
"8002","36"
"7938","36"
"7871","36"
"7818","36"
"7757","36"
"7699","36"
"7642","36"
"7571","36"
"7512","36"
"7454","36"
"7406","36"
"7347","36"
"7295","34"
"7248","34"
"7192","33"
"7148","33"
"7098","33"
"7042","33"
"6990","32"
"6935","32"
"6889","32"
"6842","30"
"6788","30"
"6747","30"
"6708","30"
"6660","30"
"6625","30"
"6583","29"
"6540","28"
"6506","27"
"6461","27"
"6414","26"
"6368","25"
"6328","24"
"6299","23"
"6272","23"
"6234","23"
"6194","23"
"6167","22"
"6128","22"
"6094","20"
"6065","20"
"6033","19"
"6006","18"
"5969","18"
"5941","17"
"5914","17"
"5906","17"
"5905","16"
"5927","14"
"5953","14"
"5997","12"
"6042","11"
"6074","11"
"6110","11"
"6151","11"
"6188","11"
"6237","11"
"6282","11"
"6334","11"
"6350","11"
"6389","11"
"6429","11"
"6467","11"
"6492","11"
"6530","11"
"6571","11"
"6603","11"
"6642","11"
"6699","10"
"6730","9"
"6754","9"
"6766","9"
"6807","9"
"6837","9"
"6863","9"
"6861","9"
"6899","9"
"6915","9"
"6936","9"
"6957","8"
"6963","8"
"7015","8"
"7038","8"
"7076","8"
"7075","8"
"7126","8"
"7158","8"
"7202","8"
"7233","8"
"7260","8"
"7309","8"
"7336","8"
"7355","8"
"7397","8"
"7425","8"
"7450","8"
"7488","8"
"7529","8"
"7558","8"
"7602","8"
"7643","8"
"7659","8"
"7705","8"
"7743","8"
"7792","8"
"7802","8"
"7842","8"
"7877","8"
"7911","8"
"7951","8"
"7964","7"
"7980","6"
"8013","6"
"8030","6"
"8060","6"
"8105","6"
"8130","6"
"8158","6"
"8190","6"
"8214","6"
"8227","6"
"8237","6"
"8255","6"
"8267","6"
"8283","6"
"8345","6"
"8391","6"
"8407","6"
"8429","6"
"8449","6"
"8481","6"
"8509","6"
"8541","6"
"8568","6"
"8591","6"
"8628","6"
"8648","6"
"8703","6"
"8728","6"
"8757","6"
"8788","6"
"8805","6"
"8824","6"
"8850","6"
"8866","6"
"8875","6"
"8873","6"
"8877","6"
"8873","6"
"8883","6"
"8865","6"
"8846","6"
"8824","6"
"8804","6"
"8791","6"
"8773","6"
"8748","6"
"8732","6"
"8718","6"
"8699","6"
"8680","6"
"8658","6"
"8641","6"
"8620","6"
"8603","6"
"8583","6"
"8564","6"
"8546","6"
"8527","6"
"8514","6"
"8498","6"
"8482","6"
"8454","6"
"8433","6"
"8410","6"
"8394","6"
"8376","6"
"8350","6"
"8329","6"
"8309","6"
"8298","6"
"8289","6"
"8273","6"
"8253","5"
"8230","5"
"8216","5"
"8199","5"
"8182","5"
"8165","5"
"8146","5"
"8129","5"
"8114","5"
"8099","5"
"8085","5"
"8064","5"
"8055","4"
"8043","4"
"8022","4"
"8008","4"
"7990","4"
"7976","4"
"7959","4"
"7944","4"
"7930","4"
"7916","4"
"7903","4"
"7885","4"
"7871","4"
"7855","4"
"7841","4"
"7826","4"
"7808","4"
"7792","4"
"7779","4"
"7762","4"
"7752","4"
"7735","4"
"7718","4"
"7707","4"
"7694","4"
"7678","4"
"7656","4"
"7646","4"
"7635","4"
"7626","4"
"7608","4"
"7586","4"
"7587","4"
"7572","4"
"7574","4"
"7574","4"
"7594","4"
"7596","4"
"7606","4"
"7608","4"
"7632","4"
"7652","4"
"7668","4"
"7684","4"
"7700","4"
"7712","4"
"7743","4"
"7764","4"
"7779","4"
"7799","4"
"7812","4"
"7825","4"
"7838","4"
"7854","4"
"7866","4"
"7879","4"
"7884","4"
"7915","4"
"7933","3"
"7964","2"
"7993","2"
"8030","2"
"8026","2"
"8039","2"
"8076","2"
"8096","2"
"8122","2"
"8140","2"
"8180","2"
"8198","2"
"8219","2"
"8229","2"
"8234","2"
"8265","2"
"8266","2"
"8267","2"
"8290","2"
"8325","2"
"8338","2"
"8359","2"
"8379","2"
"8387","2"
"8414","2"
"8421","2"
"8439","2"
"8466","2"
"8495","2"
"8504","2"
"8524","2"
"8548","2"
"8561","2"
"8563","2"
"8572","2"
"8605","2"
"8628","2"
"8648","2"
"8667","2"
"8694","2"
"8712","2"
"8704","2"
"8706","2"
"8717","2"
"8731","2"
"8742","2"
"8752","2"
"8766","2"
"8799","2"
"8798","2"
"8802","2"
"8794","2"
"8817","2"
"8848","2"
"8851","2"
"8860","2"
"8865","2"
"8879","2"
"8888","2"
"8901","2"
"8917","2"
"8938","2"
"8951","2"
"8979","2"
"9008","2"
"9026","2"
"9034","2"
"9051","2"
"9061","2"
"9072","2"
"9077","2"
"9070","2"
"9080","2"
"9092","2"
"9091","2"
"9099","2"
"9093","2"
"9083","2"
"9070","2"
"9045","2"
"9023","2"
"8994","2"
"8968","2"
"8939","2"
"8910","2"
"8877","2"
"8853","2"
"8825","2"
"8804","2"
"8776","2"
"8756","2"
"8727","2"
"8702","2"
"8680","2"
"8648","2"
"8629","2"
"8608","2"
"8588","2"
"8574","2"
"8542","2"
"8517","2"
